BRAND AND MODEL	MODEL	SHOWNAME	FOLDER	EXTR1	EXTR2	MKUBIFS_ARGS	UBINIZE_ARGS	ROOTNAME	KERNELNAME	ACTION	MESSAGE
WV Force1	force1	WV FORCE1	/update/force1/cfe	/fullbackup_force1	/update/force1	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
WV Force1+	force1plus	WV FORCE1+	/update/force1plus/cfe	/fullbackup_force1plus	/update/force1plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
TM Tmtwinoe	tmtwinoe	TM TMTWINOE	/update/tmtwinoe/cfe	/fullbackup_tmtwinoe	/update/tmtwinoe	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
TM Tm2toe	tm2toe	TM TM2TOE	/update/tm2toe/cfe	/fullbackup_tmwinoe	/update/tm2toe	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
TM Tmnanooe	tmnanooe	TM TMNANOOE	/update/tmnanooe/cfe	/fullbackup_tmnanooe	/update/tmnanooe	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
TM Tmsingle	tmsingle	TM TMSINGLE	/update/tmsingle/cfe	/fullbackup_tmsingle	/update/tmsingle	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
TM Tmnano2t	tmnano2t	TM TMNANO2T	/update/tmnano2t/cfe	/fullbackup_tmnano2t	/update/tmnano2t	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
IQ Ios100	ios100	IQ IOS100	/update/ios100/cfe	/fullbackup_ios100	/update/ios100	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
IQ Ios200	ios200	IQ IOS200	/update/ios200/cfe	/fullbackup_ios200	/update/ios200	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
IQ Ios300	ios300	IQ IOS300	/update/ios300/cfe	/fullbackup_ios300	/update/ios300	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	reboot	message12
